date,close,volume,change
2024-04-03,113268,6590,-0.0034284488798846085
2024-04-04,110257,16709,-0.02694268775589599
2024-04-05,110742,4726,0.004389167178297482
2024-04-08,110451,3039,-0.0026311878575393686
2024-04-09,114822,17241,0.038811119460313195
2024-04-11,115600,14433,0.006752853082294058
2024-04-12,112200,4230,-0.02985296314968116
2024-04-15,109577,3271,-0.02365549461171415
2024-04-16,109577,5884,0.0
2024-04-17,109965,1863,0.0035346348667777143
2024-04-18,112588,5016,0.023573004746681257
2024-04-19,110937,2143,-0.014772665473016254
2024-04-22,110451,2325,-0.004390488921654928
2024-04-23,110742,1617,0.0026311878575394363
2024-04-24,111131,1104,0.0035065140741199546
2024-04-25,110742,1404,-0.003506514074119984
2024-04-26,109091,3097,-0.015020775242501986
2024-04-29,108411,6609,-0.006252836438743758
2024-04-30,107342,11299,-0.009909560913779538
2024-05-02,106177,9526,-0.010912486110265034
2024-05-03,106274,10000,0.0009131518019708223
2024-05-07,104525,6029,-0.016594387407261064
2024-05-08,104234,4629,-0.002787905560776748
2024-05-09,104428,7556,0.0018594670414177332
2024-05-10,102485,8453,-0.018781392317178108
2024-05-13,102777,5524,0.0028451461739125447
2024-05-14,103845,13369,0.010337810218094297
2024-05-16,104817,5579,0.009316569674075126
2024-05-17,105302,2946,0.0046164398397114115
2024-05-20,104040,2678,-0.012056971731434248
2024-05-21,103748,3024,-0.0028105587638827477
2024-05-22,102680,4597,-0.010347525813628484
2024-05-23,102097,2895,-0.005694014221891792
2024-05-24,101902,4121,-0.0019117746595996568
2024-05-27,97434,13875,-0.04483634141044274
2024-05-28,98502,9989,0.01090162682943067
2024-05-29,98697,3126,0.001977698300280165
2024-05-30,99862,3659,0.011734682070443533
2024-05-31,98017,8324,-0.01864829989690719
2024-06-03,98211,7944,0.0019772923660900704
2024-06-04,99085,4568,0.008859842238833607
2024-06-05,98697,6741,-0.003923516778459984
2024-06-07,98891,4543,0.0019636826359845138
2024-06-10,98600,3230,-0.002946971868111074
2024-06-11,101125,13712,0.02528611377006596
2024-06-12,101708,8744,0.005748587315637824
2024-06-13,102680,7078,0.009511393308646062
2024-06-14,105788,11373,0.0298197354384544
2024-06-17,105885,5013,0.0009165080741510837
2024-06-18,104331,9000,-0.014785062110836937
2024-06-19,103942,5606,-0.003735486139225131
2024-06-20,104720,6636,0.007457070336161226
2024-06-21,103651,5057,-0.010260634913043498
2024-06-24,104525,5251,0.008396790554027759
2024-06-25,102582,4439,-0.018763798493601498
2024-06-26,104525,5262,0.018763798493601425
2024-06-27,101708,6974,-0.02732031454833506
2024-06-28,102291,3867,0.005715729853534956
2024-07-01,103845,3250,0.015077710250269799
2024-07-02,103942,1871,0.0009336484673848376
2024-07-03,102777,9507,-0.011271458685479071
2024-07-04,102680,2986,-0.0009442365770644131
2024-07-05,106760,9609,0.03896596853338371
2024-07-08,103748,8279,-0.02861844271975534
